"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.716924793E0,7.758495808E0,1.847643852E0,-5.341393471E0,9.598881665E0
2.726924793E0,6.240374565E0,2.828418255E0,-7.763488770E0,1.035441850E1
2.736924793E0,4.971558571E0,3.278223038E0,-1.097168827E1,1.248363266E1
2.746924793E0,3.864072084E0,3.241975784E0,-1.449509621E1,1.534761461E1
2.756924793E0,2.862177134E0,3.165541172E0,-1.558514690E1,1.615888340E1
2.766924793E0,2.160428047E0,3.447094202E0,-1.352131081E1,1.412004794E1
2.776924793E0,1.624685049E0,3.980072260E0,-9.716362000E0,1.062488904E1
2.786923959E0,1.640705109E0,1.419339657E0,-4.835224628E0,5.299607110E0
2.796923959E0,-1.418639755E1,-7.463880539E0,1.360930824E1,2.102799703E1
2.806923925E0,-5.523060226E1,-7.917701721E0,3.513088989E1,6.593397343E1
2.816923925E0,-3.007444000E1,-3.969987869E1,3.839973450E1,6.288952154E1
2.826923925E0,-1.829012680E1,-3.740446472E1,1.283010101E1,4.356872974E1
2.836923925E0,-8.707040787E0,-1.821109390E1,6.467616081E0,2.119638078E1
2.846923925E0,-1.029020500E1,-1.482349205E1,-6.037177086E0,1.902818285E1
2.856923925E0,-7.316669464E0,-1.030203152E1,6.452579498E0,1.418806849E1
2.866923925E0,-8.661899567E0,-1.088755798E1,8.370628357E0,1.623683596E1
2.876923958E0,-1.353237438E1,-5.707936764E0,5.633326530E0,1.573022779E1
2.886924824E0,-1.679965973E1,-2.326319218E0,8.712846756E0,1.906709277E1
2.896924824E0,-1.627485466E1,-2.859032154E0,3.713051796E0,1.693610678E1
2.906924824E0,-1.572138214E1,1.788813591E1,5.666071415E0,2.447961658E1
2.916924824E0,-1.734959030E1,1.157990646E1,9.573914528E0,2.295130403E1
2.926924824E0,-1.373925591E1,1.132160664E0,9.933585167E0,1.699191145E1
2.936924824E0,5.759222984E0,-9.934372902E0,3.853071976E1,4.020543221E1
2.946923957E0,-2.262115479E-3,-1.510767841E1,3.071504593E1,3.422946097E1
2.956923957E0,-1.813161087E1,2.995268822E0,1.080291462E1,2.131736176E1
2.966923923E0,-1.890114975E1,7.499397278E0,2.964651108E0,2.054953960E1
2.976923923E0,-1.217039394E1,2.519491196E0,3.989478588E0,1.305305574E1
2.986923056E0,-9.564080238E0,-3.578559160E0,1.454297924E1,1.777008615E1
2.996923056E0,4.302969933E0,5.638078308E1,-5.622712708E1,7.974207215E1
3.006923056E0,-3.480739117E0,4.189564896E1,7.541423798E1,8.634042064E1
3.016923056E0,-3.845365524E1,1.363133049E1,-1.124766445E1,4.232028743E1
3.026923056E0,-2.306296539E1,-8.454428673E0,6.402126312E0,2.538434475E1
3.036923056E0,-1.198663902E1,-1.365295219E1,5.679441452E0,1.903519566E1
3.046923056E0,1.612385559E1,-3.231296539E1,3.912091827E1,5.324051745E1
3.056923056E0,6.197324276E0,-3.390241241E1,3.299692154E1,4.771349104E1
3.066923056E0,-6.979594231E0,-1.873080444E1,8.477686882E0,2.171241455E1
3.076923056E0,-1.337141418E1,-1.502756977E1,-9.141125679E0,2.209485798E1
3.086923889E0,-1.369822693E1,-1.433497715E1,-2.457152748E1,3.157361167E1
3.096923889E0,-1.209230423E1,-1.100410557E1,-4.404942322E1,4.698580474E1
3.106923889E0,-7.636097908E0,-1.730955124E0,-4.027116013E1,4.102526703E1
3.116923889E0,-5.695176125E0,7.532041550E0,-1.759647179E1,1.997004007E1
3.126923922E0,-4.320680618E0,9.312065125E0,-7.538284302E0,1.273611275E1
3.136923922E0,-4.662972927E0,9.673091888E0,-9.098048210E0,1.407432075E1
3.146923655E0,-6.605537891E0,-3.995086670E1,1.174089622E1,4.216104274E1
3.156923655E0,-2.796524811E1,1.001960564E1,-7.033827782E0,3.052740297E1
